id_aluno,curso,semestre_atual,total_semestres_cursados,nota_disciplina1,nota_disciplina2,media_notas,taxa_aprovacao,tempo_permanencia,frequencia
1,Engenharia Civil,7,7,7.5,6.2,6.85,0.72,7,80
2,Engenharia Elétrica,6,6,6.8,5.9,6.35,0.68,6,75
3,Engenharia Computação,3,3,8.2,7.9,8.05,0.90,3,95
4,Engenharia Civil,4,4,5.5,6.0,5.75,0.65,4,70
5,Engenharia Elétrica,5,5,7.0,6.5,6.75,0.78,5,82
6,Engenharia Computação,2,2,9.0,8.5,8.75,0.95,2,98
7,Engenharia Mecânica,6,6,6.0,6.4,6.2,0.70,6,78
8,Engenharia Civil,1,1,7.2,7.4,7.3,0.85,1,88
9,Engenharia Elétrica,3,3,5.5,5.8,5.65,0.60,3,68
10,Engenharia Computação,7,7,8.1,7.5,7.8,0.88,7,90
